car_name,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Used BMW 7 Series  730Li 2018,2018,"34,770KM",Automatic,Petrol,Silver,4,1998,"
            Rear Wheel Drive
          ",4,Perfect inside out,"190,000"
Used Infiniti QX80  5.6L Luxe (8 Seats) 2020,2020,"38,928KM",Automatic,Petrol,White,5,5552,"
            All Wheel Drive
          ",8,Perfect inside out,"228,350"
Used Chevrolet Suburban  5.3L LS 2WD 2018,2018,"36,827KM",Automatic,Petrol,Black,5,5300,"
            Rear Wheel Drive
          ",8,Perfect inside out,"135,575"
Used Chevrolet Silverado 2016,2016,"142,731KM",Automatic,Petrol,White,2,5300,"
            All Wheel Drive
          ",8,Perfect inside out,"64,450"
Used GMC Yukon  5.3L SLE (2WD) 2018,2018,"79,504KM",Automatic,Petrol,Gray,5,5328,"
            Rear Wheel Drive
          ",8,Perfect inside out,"145,350"
Used GMC Yukon  5.3L SLE (2WD) 2018,2018,"31,506KM",Automatic,Petrol,Gray,5,5328,"
            Rear Wheel Drive
          ",8,Perfect inside out,"153,400"
Used Chevrolet Impala  3.6L LS 2018,2018,"32,016KM",Automatic,Petrol,Black,4,3564,"
            Front Wheel Drive
          ",6,Perfect inside out,"77,000"
Used Infiniti Q70  3.7L Luxe 2019,2019,"15,415KM",Automatic,Petrol,Brown,4,3696,"
            Rear Wheel Drive
          ",6,Perfect inside out,"130,350"
Used Chevrolet Tahoe  LS 2WD 2018,2018,"39,030KM",Automatic,Petrol,Gray,4,5300,"
            Rear Wheel Drive
          ",8,Perfect inside out,"145,350"
Used Mercedes-Benz 450 SEL 2018,2018,"36,371KM",Automatic,Petrol,White,4,3000,"
            Rear Wheel Drive
          ",6,Perfect inside out,"296,000"
Used Toyota Corolla  1.5L XLI Executive (Moon Roof) 2022,2022,"4,000KM",CVT,Petrol,White,4,1500,"
            Front Wheel Drive
          ",3,Perfect inside out,"88,500"
Used Toyota Corolla 2013,2013,"150,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Hyundai Elantra 2019,2019,"178,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Toyota Corolla 2006,2006,"240,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Honda Accord 2007,2007,"266,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Camry 2007,2007,"117,000KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Corolla 2014,2014,"170,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"14,000"
Used Toyota Camry 2007,2007,"143,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",4,Perfect inside out,"13,000"
Used Toyota Corolla 2013,2013,"118,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Hyundai Sonata 2016,2016,"90,000KM",N/A,N/A,Gold,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Hyundai Elantra 2015,2015,"130,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"27,000"
Used Toyota Corolla 2015,2015,"57,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"11,000"
Used Ford Expedition  3.5L EcoBoost XLT 2019,2019,"60,000KM",Automatic,Petrol,Green,5,3496,"
            All Wheel Drive
          ",6,Minor wear and tear,"165,000"
Used Toyota Fortuner 2.7L GX2 4X4 2022,2022,"2,300KM",Automatic,Petrol,White,5,2700,"
            All Wheel Drive
          ",4,Perfect inside out,"133,000"
Used Infiniti Q50  3.0T Luxe 2019,2019,"48,022KM",Automatic,Petrol,Black,4,2997,"
            Rear Wheel Drive
          ",6,Perfect inside out,"110,350"
Used Chevrolet Impala  3.6L LS 2018,2018,"52,355KM",Automatic,Petrol,Black,4,3564,"
            Front Wheel Drive
          ",6,Perfect inside out,"74,050"
Used Chevrolet Tahoe  LS 2WD 2018,2018,"37,675KM",Automatic,Petrol,Silver,4,5300,"
            Rear Wheel Drive
          ",8,Perfect inside out,"145,350"
Used Mercedes-Benz S-Class  S 400 L 2016,2016,"31,875KM",Automatic,Hybrid,Silver,4,3498,"
            Rear Wheel Drive
          ",6,Perfect inside out,"225,000"
