car_make,car_model,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
BMW,7,2018,34770,Automatic,Petrol,Silver,4.0,1998.0,            Rear Wheel Drive          ,4,Perfect inside out,190000
Infiniti,QX80,2020,38928,Automatic,Petrol,White,5.0,5552.0,            All Wheel Drive          ,8,Perfect inside out,228350
Chevrolet,Suburban,2018,36827,Automatic,Petrol,Black,5.0,5300.0,            Rear Wheel Drive          ,8,Perfect inside out,135575
Chevrolet,Silverado,2016,142731,Automatic,Petrol,White,2.0,5300.0,            All Wheel Drive          ,8,Perfect inside out,64450
GMC,Yukon,2018,79504,Automatic,Petrol,Gray,5.0,5328.0,            Rear Wheel Drive          ,8,Perfect inside out,145350
GMC,Yukon,2018,31506,Automatic,Petrol,Gray,5.0,5328.0,            Rear Wheel Drive          ,8,Perfect inside out,153400
Chevrolet,Impala,2018,32016,Automatic,Petrol,Black,4.0,3564.0,            Front Wheel Drive          ,6,Perfect inside out,77000
Infiniti,Q70,2019,15415,Automatic,Petrol,Brown,4.0,3696.0,            Rear Wheel Drive          ,6,Perfect inside out,130350
Chevrolet,Tahoe,2018,39030,Automatic,Petrol,Gray,4.0,5300.0,            Rear Wheel Drive          ,8,Perfect inside out,145350
Mercedes-Benz,450,2018,36371,Automatic,Petrol,White,4.0,3000.0,            Rear Wheel Drive          ,6,Perfect inside out,296000
Toyota,Corolla,2022,4000,CVT,Petrol,White,4.0,1500.0,            Front Wheel Drive          ,3,Perfect inside out,88500
Toyota,Corolla,2013,150000,,,White,,,            Drive          ,,Perfect inside out,10000
Hyundai,Elantra,2019,178000,,,White,,,            Drive          ,,Perfect inside out,40000
Toyota,Corolla,2006,240000,,,White,,,            Drive          ,,Perfect inside out,8000
Honda,Accord,2007,266000,,,White,,,            Drive          ,,Perfect inside out,20000
Toyota,Camry,2007,117000,,,Blue,,,            Drive          ,,Perfect inside out,20000
Toyota,Corolla,2014,170000,,,White,,,            Drive          ,,Perfect inside out,14000
Toyota,Camry,2007,143000,,,White,,,            Drive          ,4,Perfect inside out,13000
Toyota,Corolla,2013,118000,,,Silver,,,            Drive          ,,Perfect inside out,20000
Hyundai,Sonata,2016,90000,,,Gold,,,            Drive          ,,Perfect inside out,30000
Hyundai,Elantra,2015,130000,,,Silver,,,            Drive          ,,Perfect inside out,27000
Toyota,Corolla,2015,57000,,,White,,,            Drive          ,,Perfect inside out,11000
Ford,Expedition,2019,60000,Automatic,Petrol,Green,5.0,3496.0,            All Wheel Drive          ,6,Minor wear and tear,165000
Toyota,Fortuner,2022,2300,Automatic,Petrol,White,5.0,2700.0,            All Wheel Drive          ,4,Perfect inside out,133000
Infiniti,Q50,2019,48022,Automatic,Petrol,Black,4.0,2997.0,            Rear Wheel Drive          ,6,Perfect inside out,110350
Chevrolet,Impala,2018,52355,Automatic,Petrol,Black,4.0,3564.0,            Front Wheel Drive          ,6,Perfect inside out,74050
Chevrolet,Tahoe,2018,37675,Automatic,Petrol,Silver,4.0,5300.0,            Rear Wheel Drive          ,8,Perfect inside out,145350
Mercedes-Benz,S-Class,2016,31875,Automatic,Hybrid,Silver,4.0,3498.0,            Rear Wheel Drive          ,6,Perfect inside out,225000
BMW,7,2018,45423,Automatic,Petrol,White,4.0,1998.0,            Rear Wheel Drive          ,4,Perfect inside out,185000
BMW,5,2018,53894,Automatic,Petrol,Blue,4.0,2000.0,            Rear Wheel Drive          ,4,Perfect inside out,136150
GMC,Yukon,2018,27440,Automatic,Petrol,Black,5.0,5328.0,            Rear Wheel Drive          ,8,Perfect inside out,149950
