car_name,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Used Ford Expedition 2014,2014,"147,000KM",Automatic,N/A,Blue,N/A,N/A,"
            Drive
          ",8,N/A,"58,800"
Used Toyota Camry 2017,2017,"150,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"52,000"
Used Chevrolet Tahoe 2017,2017,"157,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",8,N/A,"135,000"
Used Ford Mustang 2016,2016,"117,000KM",Automatic,N/A,Yellow,N/A,N/A,"
            Drive
          ",6,N/A,"90,000"
Used Toyota Land Cruiser 2015,2015,"372,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"122,000"
Used Lexus LX 570 2011,2011,"432,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",8,N/A,"110,000"
Used Hyundai Accent 2019,2019,"88,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"42,800"
Used Nissan Sunny 2016,2016,"237,000KM",Automatic,N/A,Silver,N/A,N/A,"
            Drive
          ",4,N/A,"28,000"
Used Nissan Patrol 2017,2017,"132,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"135,000"
Used Toyota Land Cruiser Prado 2.7L TXL1 2018,2018,"40,000KM",Automatic,Petrol,White,5,2700,"
            All Wheel Drive
          ",4,Perfect inside out,"128,000"
Used Volkswagen Touareg  3.6L V6 SE 2014,2014,"111,900KM",Automatic,Petrol,White,5,3600,"
            All Wheel Drive
          ",6,Perfect inside out,"50,000"
Used Mercedes-Benz S-Class  S550 2011,2011,"123,000KM",N/A,Petrol,White,4,550,"
            Drive
          ",8,Perfect inside out,"150,000"
Used Mercedes-Benz G 63 AMG 2019,2019,"38,000KM",Automatic,Petrol,White,5,N/A,"
            All Wheel Drive
          ",8,Perfect inside out,"825,000"
Used Hyundai Elantra 2.0L Base 2016,2016,"18,000KM",Automatic,Petrol,Silver,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"33,000"
Used Kia Rio 2014,2014,"152,000KM",Automatic,Petrol,Beige,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"14,000"
Used Jeep Grand Cherokee 2021,2021,"8,600KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"186,000"
Used GMC Acadia 2012,2012,"164,000KM",Automatic,N/A,Silver,N/A,N/A,"
            Drive
          ",6,N/A,"23,000"
Used Dodge Charger 2020,2020,"124,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",6,N/A,"131,000"
Used Dodge Durango 2014,2014,"267,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",8,N/A,"63,000"
Used Ford Expedition 2013,2013,"274,000KM",Automatic,N/A,Grey,N/A,N/A,"
            Drive
          ",8,N/A,"46,000"
Used Land Rover LR2 2012,2012,"164,000KM",Automatic,N/A,Grey,N/A,N/A,"
            Drive
          ",6,N/A,"41,000"
Used Hyundai Sonata 2016,2016,"310,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"35,000"
Used Kia Cerato 2017,2017,"189,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"28,500"
Used Jeep Wrangler 2017,2017,"80,000KM",Automatic,N/A,Grey,N/A,N/A,"
            Drive
          ",6,N/A,"106,500"
Used Audi Q7 2010,2010,"275,000KM",Automatic,N/A,Brown,N/A,N/A,"
            Drive
          ",8,N/A,"40,000"
Used BMW 7 Series 2017,2017,"46,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"185,000"
Used Toyota Camry 2017,2017,"189,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"75,000"
Used Chevrolet Tahoe 2017,2017,"224,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",8,N/A,"100,000"
Used Lexus RX 350 2019,2019,"69,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"186,000"
Used Audi TT 2016,2016,"148,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",4,N/A,"115,000"
Used Hyundai Sonata 2013,2013,"400,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"28,000"
Used Toyota Land Cruiser 2002,2002,"22,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"48,000"
Used Toyota Hiace 2004,2004,"220,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"16,000"
Used Hyundai Sonata 2013,2013,"400,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"29,000"
Used Lexus LX 570 2015,2015,"500,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"87,000"
Used Toyota Fortuner 2020,2020,"52,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"86,000"
Used Hyundai Accent 2015,2015,"180,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"26,000"
Used Hummer H3 2006,2006,"123,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Land Cruiser Prado 2010,2010,"350,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"59,000"
